Symbol,Exchange,Action,Last Price
NVDA,SMART,BUY,182.08
AMD,SMART,BUY,231.82
GOOGL,SMART,BUY,317.32
FCX,SMART,BUY,65.1
VALE,SMART,BUY,16.74
S32.AX,ASX,BUY,4.55
NEM,SMART,BUY,118.15
AAPL,SMART,BUY,258.9
BHP.AX,ASX,BUY,54.09
MSFT,SMART,BUY,374.33
