Symbol,Exchange,Action,Last Price
AMD,SMART,BUY,236.64
GOOGL,SMART,BUY,318.49
S32.AX,ASX,BUY,4.58
BHP.AX,ASX,BUY,54.56
NXT.AX,ASX,BUY,12.9
NVDA,SMART,BUY,183.91
FCX,SMART,BUY,66.45
MSFT,SMART,BUY,373.07
VALE,SMART,BUY,16.65
360.AX,ASX,BUY,20.14
