Ticker,Exchange,Action
FCX,SMART,BUY
NVDA,SMART,BUY
VALE,SMART,BUY
NEM,SMART,BUY
AAPL,SMART,BUY
NEE,SMART,BUY
BHP.AX,ASX,BUY
S32.AX,ASX,BUY
NXT.AX,ASX,BUY
ASX.AX,ASX,BUY
