Ticker,Sector,Current Price,5d Change %,Vol Spike,RSI,MACD Hist,Rebound Score,Signal Score,Last Updated
CVX,Energy,187.85,-5.6,0.42,34.4,-2.38,18.5,15.7,05:04:50
WTC.AX,Tech,37.63,-4.9,1.35,42.2,0.17,16.1,25.7,05:04:50
XOM,Energy,152.53,-5.1,0.44,41.4,-1.75,15.9,13.5,05:04:50
WDS.AX,Energy,33.28,-5.2,0.54,47.9,-0.23,15.9,13.5,05:04:50
FMG.AX,Mining,20.26,-3.9,1.14,61.1,0.04,15.9,25.5,05:04:50
