Symbol,Exchange,Action,Last Price
S32.AX,ASX,BUY,4.55
BHP.AX,ASX,BUY,54.33
NXT.AX,ASX,BUY,12.89
QUB.AX,ASX,BUY,4.99
IGO.AX,ASX,BUY,8.15
MIN.AX,ASX,BUY,58.6
360.AX,ASX,BUY,20.35
RIO.AX,ASX,BUY,172.2
FMG.AX,ASX,BUY,20.62
ASX.AX,ASX,BUY,57.3
