Symbol,Exchange,Action,Last Price
AMD,SMART,BUY,236.64
VALE,SMART,BUY,16.65
WDS.AX,ASX,BUY,33.33
FCX,SMART,BUY,66.45
STO.AX,ASX,BUY,7.95
S32.AX,ASX,BUY,4.58
COP,SMART,BUY,123.47
BPT.AX,ASX,BUY,1.23
OXY,SMART,BUY,58.53
BHP.AX,ASX,BUY,54.56
