Ticker,Company,Market,Currency,Price,Change %,RSI,Rebound Score,Profit Opp %,Volume
QUB.AX,Qube Holdings Limited,ASX,AUD,5,0.5,85.7,132,15.8,2011758
ASX.AX,ASX Limited,ASX,AUD,58.71,0.51,85.5,76.7,9.2,751996
TCL.AX,Transurban Group,ASX,AUD,13.67,0.22,73.3,58,7,2733739
AGL.AX,AGL Energy Limited,ASX,AUD,9.67,0.42,71.4,43.1,5.2,758074
ZIM,ZIM Integrated Shipping Services Ltd.,US,USD,26.39,0.17,50,39.4,4.7,73630
AEM,Agnico Eagle Mines Limited,US,USD,218.73,0.11,73.6,37,4.4,79088
NEM,Newmont Corporation,US,USD,120.84,0.04,68.1,36.2,4.3,199773
VALE,Vale S.A.,US,USD,16.97,-0.09,22.7,35.9,4.3,867307
CVX,Chevron Corporation,US,USD,188.54,0.01,83.9,35.3,4.2,382351
MATX,"Matson, Inc.",US,USD,171.09,-0.34,35.8,33.7,4,12355
FCX,Freeport-McMoRan Inc.,US,USD,67.84,-0.04,26.2,32.9,4,330029
CCJ,Cameco Corporation,US,USD,116.1,0,20.8,30.4,3.6,100789
AAPL,Apple Inc.,US,USD,260.38,-0.03,70.3,30,3.6,665204
BPT.AX,Beach Energy Limited,ASX,AUD,1.21,-0.41,36,29.8,3.6,234780
ENPH,"Enphase Energy, Inc.",US,USD,31.19,-0.06,73.8,29.1,3.5,195175
COP,ConocoPhillips,US,USD,122.54,-0.05,68.6,27.7,3.3,789668
BHP.AX,BHP Group Limited,ASX,AUD,53.98,0,32,24.1,2.9,2920
S32.AX,South32 Limited,ASX,AUD,4.63,0.43,66.7,23.7,2.8,4180092
TSLA,"Tesla, Inc.",US,USD,348.895,0.04,67.6,23.4,2.8,565757
NVDA,NVIDIA Corporation,US,USD,188.64,-0.01,35.5,22.4,2.7,1895632
XRO.AX,Xero Limited,ASX,AUD,71.46,-0.29,29.8,22.3,2.7,249622
AMD,"Advanced Micro Devices, Inc.",US,USD,245.02,0.04,35.2,22.1,2.7,447239
STO.AX,Santos Limited,ASX,AUD,7.88,0,27.3,21.6,2.6,63105
360.AX,"Life360, Inc.",ASX,AUD,19.48,-0.15,43.2,21.5,2.6,153163
DAC,Danaos Corporation,US,USD,115.03,-0.23,50.6,21.4,2.6,3735
FSLR,"First Solar, Inc.",US,USD,203.52,0.1,63.7,19.4,2.3,40540
GOOGL,Alphabet Inc.,US,USD,317.25,0.02,38.1,18.7,2.2,482105
MSFT,Microsoft Corporation,US,USD,370.87,0.02,39.4,18.1,2.2,524131
CWEN,"Clearway Energy, Inc.",US,USD,41.07,-0.05,43.3,17.8,2.1,15063
NXT.AX,NEXTDC Limited,ASX,AUD,12.82,-0.62,23.5,17.5,2.1,659703
CMRE,Costamare Inc.,US,USD,17.24,0.38,65.4,17.1,2,14322
ORG.AX,Origin Energy Limited,ASX,AUD,12.38,0.41,64,17,2,1938412
NEE,"NextEra Energy, Inc.",US,USD,94.11,-0.08,59.1,16.1,1.9,140123
RIO.AX,Rio Tinto Group,ASX,AUD,171.23,-0.01,29.2,15.8,1.9,298886
OXY,Occidental Petroleum Corporation,US,USD,57.995,-0.05,50,13.2,1.6,294164
XOM,Exxon Mobil Corporation,US,USD,152.3,0.02,54.2,12.2,1.5,768494
GOLD,"Gold.com, Inc.",US,USD,44,0.18,34.4,11.6,1.4,6927
MEZ.AX,Meridian Energy Limited,ASX,AUD,4.64,0.43,70,9.2,1.1,98
SCCO,Southern Copper Corporation,US,USD,192.51,0.18,65.9,9.2,1.1,50884
TNE.AX,Technology One Limited,ASX,AUD,27.69,0.27,72.5,9.2,1.1,372532
SBLK,Star Bulk Carriers Corp.,US,USD,24.235,0.02,57.7,9,1.1,32321
BEPC,Brookfield Renewable Corporation,US,USD,42.55,-0.05,53.1,7.6,0.9,36302
MCY.AX,Mercury NZ Limited,ASX,AUD,5.31,0,47.9,7.2,0.9,8
MIN.AX,Mineral Resources Limited,ASX,AUD,57.98,-0.29,35,6.4,0.8,239881
IFT.AX,Infratil Limited,ASX,AUD,10.04,0.3,52.4,5.9,0.7,113693
CEN.AX,Contact Energy Limited,ASX,AUD,7.81,0.77,64.1,4.5,0.5,13
PME.AX,Pro Medicus Limited,ASX,AUD,126.92,0.17,55.6,4.5,0.5,84439
WDS.AX,Woodside Energy Group Ltd,ASX,AUD,33.28,0,85.2,4.2,0.5,8644
WTC.AX,WiseTech Global Limited,ASX,AUD,37.63,-1.39,20.3,1.2,0.1,676683
WHC.AX,Whitehaven Coal Limited,ASX,AUD,8.12,0,57.1,1,0.1,20603
REA.AX,REA Group Limited,ASX,AUD,158.56,-0.03,69.2,0.8,0.1,403
IGO.AX,IGO Limited,ASX,AUD,8.15,0,53.8,0.3,0,8315
FMG.AX,Fortescue Ltd,ASX,AUD,20.26,0.25,46.3,-31.8,-3.8,2192197
